Method: dfs | Level: 1 | Time: 0.11 second | Length of Solutions: 79
Method: dfs | Level: 2 | Time: 0.00 second | Length of Solutions: 24
Method: dfs | Level: 3 | Time: 0.30 second | Length of Solutions: 403
Method: dfs | Level: 4 | Time: 0.00 second | Length of Solutions: 27
Method: dfs | Level: 5 | Time: NA second | Length of Solutions: NA
Method: dfs | Level: 6 | Time: 0.01 second | Length of Solutions: 55
Method: dfs | Level: 7 | Time: 0.81 second | Length of Solutions: 707
Method: dfs | Level: 8 | Time: 0.10 second | Length of Solutions: 323
Method: dfs | Level: 9 | Time: 0.40 second | Length of Solutions: 74
Method: dfs | Level: 10 | Time: 0.02 second | Length of Solutions: 37
Method: dfs | Level: 11 | Time: 0.02 second | Length of Solutions: 36
Method: dfs | Level: 12 | Time: 0.19 second | Length of Solutions: 109
Method: dfs | Level: 13 | Time: 0.25 second | Length of Solutions: 185
Method: dfs | Level: 14 | Time: 5.60 second | Length of Solutions: 865
Method: dfs | Level: 15 | Time: 0.23 second | Length of Solutions: 291
Method: dfs | Level: 16 | Time: NA second | Length of Solutions: NA
Method: dfs | Level: 17 | Time: NA second | Length of Solutions: NA
Method: dfs | Level: 18 | Time: NA second | Length of Solutions: NA

Method: bfs | Level: 1 | Time: 0.12 second | Length of Solutions: 12
Method: bfs | Level: 2 | Time: 0.01 second | Length of Solutions: 9
Method: bfs | Level: 3 | Time: 0.23 second | Length of Solutions: 15
Method: bfs | Level: 4 | Time: 0.01 second | Length of Solutions: 7
Method: bfs | Level: 5 | Time: 253.52 second | Length of Solutions: 20
Method: bfs | Level: 6 | Time: 0.01 second | Length of Solutions: 19
Method: bfs | Level: 7 | Time: 1.22 second | Length of Solutions: 21
Method: bfs | Level: 8 | Time: 0.26 second | Length of Solutions: 97
Method: bfs | Level: 9 | Time: 0.01 second | Length of Solutions: 8
Method: bfs | Level: 10 | Time: 0.03 second | Length of Solutions: 33
Method: bfs | Level: 11 | Time: 0.02 second | Length of Solutions: 34
Method: bfs | Level: 12 | Time: 0.13 second | Length of Solutions: 23
Method: bfs | Level: 13 | Time: 0.20 second | Length of Solutions: 31
Method: bfs | Level: 14 | Time: 4.00 second | Length of Solutions: 23
Method: bfs | Level: 15 | Time: 0.36 second | Length of Solutions: 105
Method: bfs | Level: 16 | Time: 30.79 second | Length of Solutions: 34
Method: bfs | Level: 17 | Time: 30.91 second | Length of Solutions: 0
Method: bfs | Level: 18 | Time: NA second | Length of Solutions: NA

Method: ucs | Level: 1 | Time: 0.08 second | Length of Solutions: 12
Method: ucs | Level: 2 | Time: 0.01 second | Length of Solutions: 9
Method: ucs | Level: 3 | Time: 0.15 second | Length of Solutions: 15
Method: ucs | Level: 4 | Time: 0.00 second | Length of Solutions: 7
Method: ucs | Level: 5 | Time: 101.74 second | Length of Solutions: 20
Method: ucs | Level: 6 | Time: 0.02 second | Length of Solutions: 19
Method: ucs | Level: 7 | Time: 0.82 second | Length of Solutions: 21
Method: ucs | Level: 8 | Time: 0.34 second | Length of Solutions: 97
Method: ucs | Level: 9 | Time: 0.01 second | Length of Solutions: 8
Method: ucs | Level: 10 | Time: 0.02 second | Length of Solutions: 33
Method: ucs | Level: 11 | Time: 0.02 second | Length of Solutions: 34
Method: ucs | Level: 12 | Time: 0.13 second | Length of Solutions: 23
Method: ucs | Level: 13 | Time: 0.26 second | Length of Solutions: 31
Method: ucs | Level: 14 | Time: 4.43 second | Length of Solutions: 23
Method: ucs | Level: 15 | Time: 0.44 second | Length of Solutions: 105
Method: ucs | Level: 16 | Time: 23.43 second | Length of Solutions: 34
Method: ucs | Level: 17 | Time: 33.44 second | Length of Solutions: 0
Method: ucs | Level: 18 | Time: NA second | Length of Solutions: NAMethod: ucs | Level: 5 | Time: 122.52 second | Length of Solutions: 20
